"season","date","team","o_team","payout","adjustor"
2006,2006-11-06,"Pistons","Jazz",-101,4.5
2006,2006-11-06,"Jazz","Pistons",-109,-4.5
2006,2006-11-06,"Timberwolves","Kings",-106,5
2006,2006-11-06,"Kings","Timberwolves",-104,-5
2006,2006-11-06,"Trailblazers","Clippers",100,11
2006,2006-11-06,"Clippers","Trailblazers",-110,-11
2006,2006-11-07,"Hawks","Cavaliers",-107,10.5
2006,2006-11-07,"Cavaliers","Hawks",-103,-10.5
2006,2006-11-07,"Seventysixers","Pacers",-103,4.5
2006,2006-11-07,"Pacers","Seventysixers",-107,-4.5
2006,2006-11-07,"Rockets","Grizzlies",-105,-4.5
2006,2006-11-07,"Grizzlies","Rockets",-105,4.5
2006,2006-11-07,"Warriors","Pelicans",-112,7.5
2006,2006-11-07,"Pelicans","Warriors",102,-7.5
2006,2006-11-07,"Timberwolves","Lakers",-110,7.5
2006,2006-11-07,"Lakers","Timberwolves",100,-7.5
2006,2006-11-08,"Pacers","Wizards",101,5
2006,2006-11-08,"Wizards","Pacers",-111,-5
2006,2006-11-08,"Seventysixers","Raptors",-110,3
2006,2006-11-08,"Raptors","Seventysixers",100,-3
2006,2006-11-08,"Hornets","Celtics",-101,4.5
2006,2006-11-08,"Celtics","Hornets",-109,-4.5
2006,2006-11-08,"Jazz","Nets",-108,4
2006,2006-11-08,"Nets","Jazz",-102,-4
2006,2006-11-08,"Rockets","Bucks",-104,2.5
2006,2006-11-08,"Bucks","Rockets",-106,-2.5
2006,2006-11-08,"Suns","Spurs",-104,5.5
2006,2006-11-08,"Spurs","Suns",-106,-5.5
2006,2006-11-08,"Knicks","Nuggets",-114,10.5
2006,2006-11-08,"Nuggets","Knicks",104,-10.5
2006,2006-11-08,"Lakers","Trailblazers",-113,-4.5
2006,2006-11-08,"Trailblazers","Lakers",103,4.5
2006,2006-11-08,"Mavericks","Clippers",-107,2.5
2006,2006-11-08,"Clippers","Mavericks",-103,-2.5
2006,2006-11-08,"Pistons","Kings",-104,1.5
2006,2006-11-08,"Kings","Pistons",-106,-1.5
2006,2006-11-09,"Bulls","Cavaliers",-105,4
2006,2006-11-09,"Cavaliers","Bulls",-105,-4
2006,2006-11-09,"Mavericks","Suns",-108,5
2006,2006-11-09,"Suns","Mavericks",-102,-5
2006,2006-11-09,"Pelicans","Warriors",106,1.5
2006,2006-11-09,"Warriors","Pelicans",-116,-1.5
2006,2006-11-10,"Magic","Pacers",-110,5
2006,2006-11-10,"Pacers","Magic",100,-5
2006,2006-11-10,"Hawks","Raptors",-117,4
2006,2006-11-10,"Raptors","Hawks",107,-4
2006,2006-11-10,"Bucks","Wizards",-113,6
2006,2006-11-10,"Wizards","Bucks",103,-6
2006,2006-11-10,"Nuggets","Seventysixers",-115,2.5
2006,2006-11-10,"Seventysixers","Nuggets",105,-2.5
2006,2006-11-10,"Jazz","Celtics",102,-3.5
2006,2006-11-10,"Celtics","Jazz",-112,3.5
2006,2006-11-10,"Heat","Nets",-105,4
2006,2006-11-10,"Nets","Heat",-105,-4
2006,2006-11-10,"Knicks","Rockets",-101,10
2006,2006-11-10,"Rockets","Knicks",-109,-10
2006,2006-11-10,"Pelicans","Trailblazers",104,-2.5
2006,2006-11-10,"Trailblazers","Pelicans",-114,2.5
2006,2006-11-10,"Pistons","Lakers",-101,5.5
2006,2006-11-10,"Lakers","Pistons",-109,-5.5
2006,2006-11-11,"Celtics","Cavaliers",-103,10.5
2006,2006-11-11,"Cavaliers","Celtics",-107,-10.5
2006,2006-11-11,"Knicks","Spurs",-107,13
2006,2006-11-11,"Spurs","Knicks",-103,-13
2006,2006-11-11,"Magic","Timberwolves",-125,5
2006,2006-11-11,"Timberwolves","Magic",115,-5
2006,2006-11-11,"Jazz","Bucks",-101,2
2006,2006-11-11,"Bucks","Jazz",-109,-2
2006,2006-11-11,"Pacers","Bulls",100,6.5
2006,2006-11-11,"Bulls","Pacers",-110,-6.5
2006,2006-11-11,"Grizzlies","Suns",-102,11
2006,2006-11-11,"Suns","Grizzlies",-108,-11
2006,2006-11-11,"Pistons","Warriors",-106,3.5
2006,2006-11-11,"Warriors","Pistons",-104,-3.5
2006,2006-11-12,"Pelicans","Clippers",-107,5.5
2006,2006-11-12,"Clippers","Pelicans",-103,-5.5
2006,2006-11-12,"Nets","Wizards",100,6
2006,2006-11-12,"Wizards","Nets",-110,-6
2006,2006-11-12,"Nuggets","Hornets",-105,-3.5
2006,2006-11-12,"Hornets","Nuggets",-105,3.5
2006,2006-11-12,"Rockets","Heat",-102,2
2006,2006-11-12,"Heat","Rockets",-108,-2
2006,2006-11-12,"Raptors","Kings",-103,7
2006,2006-11-12,"Kings","Raptors",-107,-7
2006,2006-11-12,"Mavericks","Trailblazers",-101,-6
2006,2006-11-12,"Trailblazers","Mavericks",-109,6
2006,2006-11-12,"Grizzlies","Lakers",-105,9
2006,2006-11-12,"Lakers","Grizzlies",-105,-9
2006,2006-11-13,"Magic","Celtics",103,-1
2006,2006-11-13,"Celtics","Magic",-113,1
2006,2006-11-13,"Cavaliers","Knicks",-105,-5
2006,2006-11-13,"Knicks","Cavaliers",-105,5
2006,2006-11-14,"Bucks","Hawks",-115,1.5
2006,2006-11-14,"Hawks","Bucks",105,-1.5
2006,2006-11-14,"Nuggets","Heat",-103,3
2006,2006-11-14,"Heat","Nuggets",-107,-3
2006,2006-11-14,"Hornets","Pelicans",-110,7
2006,2006-11-14,"Pelicans","Hornets",100,-7
2006,2006-11-14,"Trailblazers","Timberwolves",100,8.5
2006,2006-11-14,"Timberwolves","Trailblazers",-110,-8.5
2006,2006-11-14,"Bulls","Mavericks",-108,4
2006,2006-11-14,"Mavericks","Bulls",-102,-4
2006,2006-11-14,"Spurs","Rockets",-110,1
2006,2006-11-14,"Rockets","Spurs",100,-1
2006,2006-11-14,"Clippers","Jazz",-107,-1
2006,2006-11-14,"Jazz","Clippers",-103,1
2006,2006-11-14,"Raptors","Warriors",-109,6
2006,2006-11-14,"Warriors","Raptors",-101,-6
2006,2006-11-15,"Trailblazers","Cavaliers",-105,12
2006,2006-11-15,"Cavaliers","Trailblazers",-105,-12
2006,2006-11-15,"Nuggets","Magic",100,5
2006,2006-11-15,"Magic","Nuggets",-110,-5
2006,2006-11-15,"Wizards","Knicks",100,-3
2006,2006-11-15,"Knicks","Wizards",-110,3
2006,2006-11-15,"Bucks","Nets",102,5
2006,2006-11-15,"Nets","Bucks",-112,-5
2006,2006-11-15,"Pacers","Celtics",-102,-1.5
2006,2006-11-15,"Celtics","Pacers",-108,1.5
2006,2006-11-15,"Pelicans","Pistons",-102,8
2006,2006-11-15,"Pistons","Pelicans",-108,-8
2006,2006-11-15,"Hornets","Spurs",-104,11.5
2006,2006-11-15,"Spurs","Hornets",-106,-11.5
2006,2006-11-15,"Grizzlies","Kings",-103,8.5
2006,2006-11-15,"Kings","Grizzlies",-107,-8.5
2006,2006-11-16,"Bulls","Rockets",-111,5
2006,2006-11-16,"Rockets","Bulls",101,-5
2006,2006-11-16,"Kings","Warriors",-106,5
2006,2006-11-16,"Warriors","Kings",-104,-5
2006,2006-11-17,"Nets","Pacers",-103,5
2006,2006-11-17,"Pacers","Nets",-107,-5
2006,2006-11-17,"Knicks","Heat",-107,8
2006,2006-11-17,"Heat","Knicks",-103,-8
2006,2006-11-17,"Trailblazers","Celtics",-106,7.5
2006,2006-11-17,"Celtics","Trailblazers",-104,-7.5
2006,2006-11-17,"Timberwolves","Cavaliers",107,6
2006,2006-11-17,"Cavaliers","Timberwolves",-117,-6
2006,2006-11-17,"Wizards","Pistons",100,4.5
2006,2006-11-17,"Pistons","Wizards",-110,-4.5
2006,2006-11-17,"Mavericks","Grizzlies",105,-5
2006,2006-11-17,"Grizzlies","Mavericks",-115,5
2006,2006-11-17,"Bulls","Spurs",-110,8
2006,2006-11-17,"Spurs","Bulls",100,-8
2006,2006-11-17,"Seventysixers","Suns",-106,6
2006,2006-11-17,"Suns","Seventysixers",-104,-6
2006,2006-11-17,"Raptors","Lakers",-105,7.5
2006,2006-11-17,"Lakers","Raptors",-105,-7.5
2006,2006-11-18,"Cavaliers","Wizards",108,4
2006,2006-11-18,"Wizards","Cavaliers",-118,-4
2006,2006-11-18,"Hornets","Magic",-105,7.5
2006,2006-11-18,"Magic","Hornets",-105,-7.5
2006,2006-11-18,"Heat","Hawks",102,3
2006,2006-11-18,"Hawks","Heat",-112,-3
2006,2006-11-18,"Trailblazers","Nets",-113,9
2006,2006-11-18,"Nets","Trailblazers",103,-9
2006,2006-11-18,"Rockets","Pistons",101,1
2006,2006-11-18,"Pistons","Rockets",-111,-1
2006,2006-11-18,"Celtics","Knicks",-105,1.5
2006,2006-11-18,"Knicks","Celtics",-105,-1.5
2006,2006-11-18,"Pelicans","Timberwolves",102,3
2006,2006-11-18,"Timberwolves","Pelicans",-112,-3
2006,2006-11-18,"Pacers","Bucks",-110,4
2006,2006-11-18,"Bucks","Pacers",100,-4
2006,2006-11-18,"Grizzlies","Mavericks",-102,10
2006,2006-11-18,"Mavericks","Grizzlies",-108,-10
2006,2006-11-18,"Raptors","Nuggets",102,9.5
2006,2006-11-18,"Nuggets","Raptors",-112,-9.5
2006,2006-11-18,"Suns","Jazz",-106,4.5
2006,2006-11-18,"Jazz","Suns",-104,-4.5
2006,2006-11-18,"Seventysixers","Clippers",-101,9
2006,2006-11-18,"Clippers","Seventysixers",-109,-9
2006,2006-11-19,"Bulls","Lakers",-114,3
2006,2006-11-19,"Lakers","Bulls",104,-3
2006,2006-11-19,"Spurs","Kings",-103,-2.5
2006,2006-11-19,"Kings","Spurs",-107,2.5
2006,2006-11-20,"Mavericks","Hornets",-103,-4
2006,2006-11-20,"Hornets","Mavericks",-107,4
2006,2006-11-20,"Rockets","Knicks",103,-4.5
2006,2006-11-20,"Knicks","Rockets",-113,4.5
2006,2006-11-20,"Magic","Grizzlies",101,-3
2006,2006-11-20,"Grizzlies","Magic",-111,3
2006,2006-11-20,"Raptors","Jazz",-121,9
2006,2006-11-20,"Jazz","Raptors",111,-9
2006,2006-11-20,"Spurs","Trailblazers",-106,-6
2006,2006-11-20,"Trailblazers","Spurs",-104,6
2006,2006-11-20,"Suns","Warriors",-116,-3.5
2006,2006-11-20,"Warriors","Suns",106,3.5
2006,2006-11-21,"Pistons","Seventysixers",-105,-4
2006,2006-11-21,"Seventysixers","Pistons",-105,4
2006,2006-11-21,"Bucks","Pacers",100,4.5
2006,2006-11-21,"Pacers","Bucks",-110,-4.5
2006,2006-11-21,"Grizzlies","Cavaliers",100,10
2006,2006-11-21,"Cavaliers","Grizzlies",-110,-10
2006,2006-11-21,"Heat","Pelicans",102,4.5
2006,2006-11-21,"Pelicans","Heat",-112,-4.5
2006,2006-11-21,"Wizards","Mavericks",-106,5
2006,2006-11-21,"Mavericks","Wizards",-104,-5
2006,2006-11-21,"Bulls","Nuggets",-120,3
2006,2006-11-21,"Nuggets","Bulls",110,-3
2006,2006-11-21,"Clippers","Lakers",-113,-1.5
2006,2006-11-21,"Lakers","Clippers",103,1.5
2006,2006-11-22,"Pacers","Magic",-106,7
2006,2006-11-22,"Magic","Pacers",-104,-7
2006,2006-11-22,"Celtics","Hornets",-104,1
2006,2006-11-22,"Hornets","Celtics",-106,-1
2006,2006-11-22,"Cavaliers","Raptors",104,-2
2006,2006-11-22,"Raptors","Cavaliers",-114,2
2006,2006-11-22,"Hawks","Pistons",103,6
2006,2006-11-22,"Pistons","Hawks",-113,-6
2006,2006-11-22,"Heat","Spurs",-109,11
2006,2006-11-22,"Spurs","Heat",-101,-11
2006,2006-11-22,"Seventysixers","Bucks",100,6.5
2006,2006-11-22,"Bucks","Seventysixers",-110,-6.5
2006,2006-11-22,"Knicks","Timberwolves",102,5
2006,2006-11-22,"Timberwolves","Knicks",-112,-5
2006,2006-11-22,"Wizards","Rockets",-110,7
2006,2006-11-22,"Rockets","Wizards",100,-7
2006,2006-11-22,"Pelicans","Suns",-101,8.5
2006,2006-11-22,"Suns","Pelicans",-109,-8.5
2006,2006-11-22,"Nets","Trailblazers",-103,-4
2006,2006-11-22,"Trailblazers","Nets",-107,4
2006,2006-11-22,"Jazz","Kings",100,4.5
2006,2006-11-22,"Kings","Jazz",-110,-4.5
2006,2006-11-22,"Nuggets","Warriors",100,4.5
2006,2006-11-22,"Warriors","Nuggets",-110,-4.5
2006,2006-11-24,"Knicks","Celtics",-110,4.5
2006,2006-11-24,"Celtics","Knicks",100,-4.5
2006,2006-11-24,"Bulls","Seventysixers",-105,-1.5
2006,2006-11-24,"Seventysixers","Bulls",-105,1.5
2006,2006-11-24,"Raptors","Hawks",-108,3
2006,2006-11-24,"Hawks","Raptors",-102,-3
2006,2006-11-24,"Magic","Heat",-104,1
2006,2006-11-24,"Heat","Magic",-106,-1
2006,2006-11-24,"Mavericks","Spurs",-102,5
2006,2006-11-24,"Spurs","Mavericks",-108,-5
2006,2006-11-24,"Cavaliers","Pacers",105,2.5
2006,2006-11-24,"Pacers","Cavaliers",-115,-2.5
2006,2006-11-24,"Timberwolves","Pelicans",-112,4.5
2006,2006-11-24,"Pelicans","Timberwolves",102,-4.5
2006,2006-11-24,"Hornets","Pistons",-115,8.5
2006,2006-11-24,"Pistons","Hornets",105,-8.5
2006,2006-11-24,"Wizards","Grizzlies",-112,-2
2006,2006-11-24,"Grizzlies","Wizards",102,2
2006,2006-11-24,"Lakers","Jazz",-108,5.5
2006,2006-11-24,"Jazz","Lakers",-102,-5.5
2006,2006-11-24,"Warriors","Nuggets",-104,4.5
2006,2006-11-24,"Nuggets","Warriors",-106,-4.5
2006,2006-11-24,"Nets","Suns",103,6
2006,2006-11-24,"Suns","Nets",-113,-6
2006,2006-11-25,"Pistons","Wizards",-105,2.5
2006,2006-11-25,"Wizards","Pistons",-105,-2.5
2006,2006-11-25,"Hawks","Magic",-112,7.5
2006,2006-11-25,"Magic","Hawks",102,-7.5
2006,2006-11-25,"Heat","Hornets",-111,3
2006,2006-11-25,"Hornets","Heat",101,-3
2006,2006-11-25,"Seventysixers","Cavaliers",-107,6.5
2006,2006-11-25,"Cavaliers","Seventysixers",-103,-6.5
2006,2006-11-25,"Bulls","Knicks",-103,-2
2006,2006-11-25,"Knicks","Bulls",-107,2
2006,2006-11-25,"Clippers","Timberwolves",108,-2.5
2006,2006-11-25,"Timberwolves","Clippers",-118,2.5
2006,2006-11-25,"Pelicans","Mavericks",-113,9.5
2006,2006-11-25,"Mavericks","Pelicans",103,-9.5
2006,2006-11-25,"Grizzlies","Rockets",-102,10
2006,2006-11-25,"Rockets","Grizzlies",-108,-10
2006,2006-11-25,"Celtics","Bucks",-110,4
2006,2006-11-25,"Bucks","Celtics",100,-4
2006,2006-11-25,"Trailblazers","Kings",-101,7.5
2006,2006-11-25,"Kings","Trailblazers",-109,-7.5
2006,2006-11-25,"Jazz","Warriors",-109,-1
2006,2006-11-25,"Warriors","Jazz",-101,1
2006,2006-11-26,"Pacers","Raptors",108,-1
2006,2006-11-26,"Raptors","Pacers",-118,1
2006,2006-11-26,"Clippers","Nuggets",103,5
2006,2006-11-26,"Nuggets","Clippers",-113,-5
2006,2006-11-26,"Suns","Trailblazers",-102,-6
2006,2006-11-26,"Trailblazers","Suns",-108,6
2006,2006-11-26,"Nets","Lakers",-115,4.5
2006,2006-11-26,"Lakers","Nets",105,-4.5
2006,2006-11-27,"Seventysixers","Heat",101,3
2006,2006-11-27,"Heat","Seventysixers",-111,-3
2006,2006-11-27,"Timberwolves","Mavericks",-108,9
2006,2006-11-27,"Mavericks","Timberwolves",-102,-9
2006,2006-11-27,"Magic","Jazz",-110,6.5
2006,2006-11-27,"Jazz","Magic",100,-6.5
2006,2006-11-27,"Spurs","Warriors",-105,-3.5
2006,2006-11-27,"Warriors","Spurs",-105,3.5
2006,2006-11-28,"Hawks","Wizards",-107,6.5
2006,2006-11-28,"Wizards","Hawks",-103,-6.5
2006,2006-11-28,"Hornets","Nets",100,7
2006,2006-11-28,"Nets","Hornets",-110,-7
2006,2006-11-28,"Raptors","Pelicans",-112,4
2006,2006-11-28,"Pelicans","Raptors",102,-4
2006,2006-11-28,"Knicks","Bulls",-106,7
2006,2006-11-28,"Bulls","Knicks",-104,-7
2006,2006-11-28,"Timberwolves","Rockets",112,8.5
2006,2006-11-28,"Rockets","Timberwolves",-122,-8.5
2006,2006-11-28,"Grizzlies","Nuggets",-112,9
2006,2006-11-28,"Nuggets","Grizzlies",102,-9
2006,2006-11-28,"Clippers","Kings",-114,5
2006,2006-11-28,"Kings","Clippers",104,-5
2006,2006-11-28,"Pacers","Trailblazers",-107,-1
2006,2006-11-28,"Trailblazers","Pacers",-103,1
2006,2006-11-28,"Bucks","Lakers",-107,7
2006,2006-11-28,"Lakers","Bucks",-103,-7
2006,2006-11-29,"Knicks","Cavaliers",-113,9.5
2006,2006-11-29,"Cavaliers","Knicks",103,-9.5
2006,2006-11-29,"Hornets","Hawks",-107,4
2006,2006-11-29,"Hawks","Hornets",-103,-4
2006,2006-11-29,"Nets","Celtics",-106,3
2006,2006-11-29,"Celtics","Nets",-104,-3
2006,2006-11-29,"Raptors","Mavericks",-107,10
2006,2006-11-29,"Mavericks","Raptors",-103,-10
2006,2006-11-29,"Spurs","Jazz",106,-1
2006,2006-11-29,"Jazz","Spurs",-116,1
2006,2006-11-29,"Rockets","Suns",-115,7
2006,2006-11-29,"Suns","Rockets",105,-7
2006,2006-11-29,"Pacers","Warriors",103,6
2006,2006-11-29,"Warriors","Pacers",-113,-6
2006,2006-11-29,"Grizzlies","Clippers",-103,6.5
2006,2006-11-29,"Clippers","Grizzlies",-107,-6.5
2006,2006-11-30,"Pistons","Heat",100,-3.5
2006,2006-11-30,"Heat","Pistons",-110,3.5
2006,2006-11-30,"Jazz","Lakers",100,4.5
2006,2006-11-30,"Lakers","Jazz",-110,-4.5
2006,2006-12-01,"Hornets","Wizards",-105,7
2006,2006-12-01,"Wizards","Hornets",-105,-7
2006,2006-12-01,"Celtics","Raptors",-105,2.5
2006,2006-12-01,"Raptors","Celtics",-105,-2.5
2006,2006-12-01,"Cavaliers","Hawks",-103,-3.5
2006,2006-12-01,"Hawks","Cavaliers",-107,3.5
2006,2006-12-01,"Bulls","Pelicans",103,-3
2006,2006-12-01,"Pelicans","Bulls",-113,3
2006,2006-12-01,"Knicks","Pistons",-111,7
2006,2006-12-01,"Pistons","Knicks",101,-7
2006,2006-12-01,"Nuggets","Timberwolves",-102,1.5
2006,2006-12-01,"Timberwolves","Nuggets",-108,-1.5
2006,2006-12-01,"Kings","Mavericks",100,7
2006,2006-12-01,"Mavericks","Kings",-110,-7
2006,2006-12-01,"Bucks","Suns",-105,9.5
2006,2006-12-01,"Suns","Bucks",-105,-9.5
2006,2006-12-01,"Magic","Trailblazers",-101,-4
2006,2006-12-01,"Trailblazers","Magic",-109,4
2006,2006-12-02,"Seventysixers","Nets",101,5.5
2006,2006-12-02,"Nets","Seventysixers",-111,-5.5
2006,2006-12-02,"Heat","Grizzlies",-105,2
2006,2006-12-02,"Grizzlies","Heat",-105,-2
2006,2006-12-02,"Raptors","Knicks",-106,3
2006,2006-12-02,"Knicks","Raptors",-104,-3
2006,2006-12-02,"Kings","Spurs",-116,8
2006,2006-12-02,"Spurs","Kings",106,-8
2006,2006-12-02,"Cavaliers","Rockets",-105,6
2006,2006-12-02,"Rockets","Cavaliers",-105,-6
2006,2006-12-02,"Wizards","Bulls",-106,6
2006,2006-12-02,"Bulls","Wizards",-104,-6
2006,2006-12-02,"Pacers","Nuggets",105,7
2006,2006-12-02,"Nuggets","Pacers",-115,-7
2006,2006-12-02,"Lakers","Clippers",-108,3
2006,2006-12-02,"Clippers","Lakers",-102,-3
2006,2006-12-02,"Bucks","Warriors",104,8
2006,2006-12-02,"Warriors","Bucks",-114,-8
2006,2006-12-03,"Hawks","Trailblazers",-105,3
2006,2006-12-03,"Trailblazers","Hawks",-105,-3
2006,2006-12-04,"Mavericks","Wizards",101,-3.5
2006,2006-12-04,"Wizards","Mavericks",-111,3.5
2006,2006-12-04,"Grizzlies","Knicks",105,2
2006,2006-12-04,"Knicks","Grizzlies",-115,-2
2006,2006-12-04,"Warriors","Spurs",108,8.5
2006,2006-12-04,"Spurs","Warriors",-118,-8.5
2006,2006-12-04,"Celtics","Bulls",103,7
2006,2006-12-04,"Bulls","Celtics",-113,-7
2006,2006-12-04,"Bucks","Jazz",-110,7
2006,2006-12-04,"Jazz","Bucks",100,-7
2006,2006-12-04,"Magic","Kings",-107,4.5
2006,2006-12-04,"Kings","Magic",-103,-4.5
2006,2006-12-04,"Pacers","Lakers",-110,7
2006,2006-12-04,"Lakers","Pacers",100,-7
2006,2006-12-05,"Trailblazers","Pistons",-104,10
2006,2006-12-05,"Pistons","Trailblazers",-106,-10
2006,2006-12-05,"Mavericks","Nets",101,-2.5
2006,2006-12-05,"Nets","Mavericks",-111,2.5
2006,2006-12-05,"Warriors","Rockets",-102,7
2006,2006-12-05,"Rockets","Warriors",-108,-7
2006,2006-12-05,"Kings","Suns",100,10.5
2006,2006-12-05,"Suns","Kings",-110,-10.5
2006,2006-12-05,"Heat","Clippers",-106,6.5
2006,2006-12-05,"Clippers","Heat",-104,-6.5
2006,2006-12-06,"Magic","Pacers",110,2
2006,2006-12-06,"Pacers","Magic",-120,-2
2006,2006-12-06,"Raptors","Cavaliers",-101,8
2006,2006-12-06,"Cavaliers","Raptors",-109,-8
2006,2006-12-06,"Spurs","Hornets",113,-8
2006,2006-12-06,"Hornets","Spurs",-123,8
2006,2006-12-06,"Grizzlies","Celtics",111,2.5
2006,2006-12-06,"Celtics","Grizzlies",-121,-2.5
2006,2006-12-06,"Wizards","Knicks",105,-1
2006,2006-12-06,"Knicks","Wizards",-115,1
2006,2006-12-06,"Rockets","Timberwolves",-110,1
2006,2006-12-06,"Timberwolves","Rockets",100,-1
2006,2006-12-06,"Trailblazers","Bucks",-112,7.5
2006,2006-12-06,"Bucks","Trailblazers",102,-7.5
2006,2006-12-06,"Hawks","Nuggets",-107,12
2006,2006-12-06,"Nuggets","Hawks",-103,-12
2006,2006-12-06,"Seventysixers","Bulls",101,9
2006,2006-12-06,"Bulls","Seventysixers",-111,-9
2006,2006-12-06,"Pelicans","Lakers",-108,9
2006,2006-12-06,"Lakers","Pelicans",-102,-9
2006,2006-12-07,"Suns","Nets",104,-3
2006,2006-12-07,"Nets","Suns",-114,3
2006,2006-12-07,"Pistons","Mavericks",-112,7
2006,2006-12-07,"Mavericks","Pistons",102,-7
2006,2006-12-07,"Heat","Kings",101,5
2006,2006-12-07,"Kings","Heat",-111,-5
2006,2006-12-08,"Rockets","Hornets",-105,-5.5
2006,2006-12-08,"Hornets","Rockets",-105,5.5
2006,2006-12-08,"Pistons","Magic",-109,4
